"1","yābhas","yābha","Masculine","2","挿入、入力","enter, insert"
"2","yabhanam","yabana","Neuter","2","挿入、入力","enter, insert"
"3","arājakatāvādas","arājakatāvāda","Masculine","2","真の自由主義","anarchism"
"4","arājakatāvādī","arājakatāvādin","Masculine","3n","真の自由主義者","anarchist"
"5","sabhā","sabhā","Feminine","1","社会","society"
"6","samājas","samāja","Masculine","2","社会","society"
"7","saṅghas","saṅgha","Masculine","2","組織、手段、集まり、団体","organization, republic, union"
"8","gaṇas","gaṇa","Masculine","2","組織、手段、集まり、団体","organization, republic, union"
"9","samveth","samveth","Feminine","3s","評議会、合議制の議会、直接民主制の議会","concil, committee, direct democracy parliament "
"10","prajātantram","prajātantra","Neuter","2","民主主義","democracy"
"11","lokatantram","lokatantra","Neuter","2","民主主義","democracy"
"12","akanyā","akanyā","Feminine","1","あかんや","Akanya"
"13","akṣatā","akṣatā","Feminine","1","アクシャタ","Akshata"
"14","akṣuṇṇatā","akṣuṇṇatā","Feminine","1","威厳","Integrity"
"15","aghnyā","aghnyā","Feminine","1","Aghnya","Aghnya"
"16","añjanā","añjanā","Feminine","1","アンジャナ","Anjana"
"17","aṭṭālikā","aṭṭālikā","Feminine","1","屋根裏","Attic"
"18","abhijñā","abhijñā","Feminine","1","認識","Recognition"
"19","amitra","amitra","Feminine","1","アミトラ","Amitra"
"20","ambā","ambā","Feminine","1","アンバ","AMBA"
"21","arcā","arcā","Feminine","1","アルカ","Archa"
"22","alābukā","alābukā","Feminine","1","アラブカ","Alabuka"
"23","avidyā","avidyā","Feminine","1","無知","Ignorance"
"24","aśvā","aśvā","Feminine","1","馬","Horses"
"25","aṣṭrā","aṣṭrā","Feminine","1","アストラ","Astra"
"26","aspṛśyatā","aspṛśyatā","Feminine","1","アンタッチャビリティ","Untouchability"
"27","āgā","āgā","Feminine","1","前方","Forward"
"28","āṅglabhāṣā","āṅglabhāṣā","Feminine","1","英語","English language"
"29","ātā","ātā","Feminine","1","今","Now"
"30","ārā","ārā","Feminine","1","見た","Saw"
"31","āvaśyakatā","āvaśyakatā","Feminine","1","必要","need"
"32","āśā","āśā","Feminine","1","望み、願い、祈願、予測、希望","wish, desire, hope, expectation, prospect"
"33","icchā","icchā","Feminine","1","望み、欲望、願い、祈願、希望","wish, desire, inclination"
"34","iṣṭakā","iṣṭakā","Feminine","1","レンガ","Brick"
"35","iṣṭikā","iṣṭikā","Feminine","1","レンガ","brick"
"36","īrṣā","īrṣā","Feminine","1","嫉妬","Jealousy"
"37","īrṣyā","īrṣyā","Feminine","1","嫉妬","Jealousy"
